split,AUC-PR,AUC-ROC,FAR,FRR,HTER,EER,thr_from_hm
s2
pt_1vid,0.9919331333788308,0.992048,0.048,0.04,0.044,nan,0.20339833199977875
pt_5vid,0.9826547556003387,0.983792,0.14,0.04,0.09000000000000001,nan,0.20339833199977875
pt_10vid,0.9820067734452685,0.9834399999999999,0.132,0.04,0.08600000000000001,nan,0.20339833199977875
pt_15vid,0.9742923665645679,0.9776320000000001,0.176,0.04,0.108,nan,0.20339833199977875
ERnerf_1vid,0.9999999999999999,1.0,0.0,0.04,0.02,nan,0.20339833199977875
ERnerf_5vid,0.9999525691699604,0.999952,0.0,0.04,0.02,nan,0.20339833199977875
ERnerf_10vid,1.0,1.0,0.0,0.04,0.02,nan,0.20339833199977875
ERnerf_15vid,1.0000000000000002,1.0,0.0,0.04,0.02,nan,0.20339833199977875
mimic_1vid,0.9927608118317748,0.991776,0.064,0.04,0.052000000000000005,nan,0.20339833199977875
mimic_5vid,0.9984644639924045,0.9984959999999999,0.012,0.04,0.026000000000000002,nan,0.20339833199977875
mimic_10vid,0.9999200606789679,0.99992,0.0,0.04,0.02,nan,0.20339833199977875
mimic_15vid,0.99998406374502,0.999984,0.0,0.04,0.02,nan,0.20339833199977875
talklip,1.0,1.0,0.0,0.04,0.02,nan,0.20339833199977875
wav2lip,1.0,1.0,0.0,0.04,0.02,nan,0.20339833199977875
IP_LAP,1.0,1.0,0.0,0.04,0.02,nan,0.20339833199977875
fom,0.9452571479883302,0.9179109311740892,0.22267206477732793,0.04,0.13133603238866395,nan,0.20339833199977875
simswap,0.9999838061925119,0.9999838709677419,0.0,0.04,0.02,nan,0.20339833199977875
anomal_hm,0.9933221485238695,0.9887466666666667,0.04,0.04,0.04,0.04000000000000002,0.20339833199977875
overall,0.999491783164937,0.9907697730777705,0.046265697290152015,0.04,0.04313284864507601,0.04000000000000002,0.20339833199977875
s6
pt_1vid,0.9974260012548674,0.997552,0.052,0.012,0.032,nan,0.6025078892707825
pt_5vid,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
pt_10vid,0.9999363814582938,0.999936,0.0,0.012,0.006,nan,0.6025078892707825
pt_15vid,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
ERnerf_1vid,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
ERnerf_5vid,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
ERnerf_10vid,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
ERnerf_15vid,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
mimic_1vid,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
mimic_5vid,0.9998127278855287,0.999808,0.008,0.012,0.01,nan,0.6025078892707825
mimic_10vid,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
mimic_15vid,0.9999840637450199,0.999984,0.0,0.012,0.006,nan,0.6025078892707825
talklip,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
wav2lip,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
IP_LAP,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
fom,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
simswap,1.0,1.0,0.0,0.012,0.006,nan,0.6025078892707825
anomal_hm,0.9997908394951424,0.9997466666666667,0.01,0.012,0.011,0.011000000000000005,0.6025078892707825
overall,0.9999907892159902,0.9998333700683272,0.003967379325545515,0.012,0.007983689662772757,0.011000000000000005,0.6025078892707825

simswap,1.0,1.0,0.0,0.036,0.018,nan,0.4048745036125183
anomal_hm,0.9937100226161751,0.9916266666666668,0.043333333333333335,0.036,0.03966666666666667,0.03966666666666667,0.4048745036125183
overall,0.9991719171578245,0.986015859030837,0.11189427312775331,0.036,0.07394713656387665,0.03966666666666667,0.4048745036125183

